end,parent,service,meter,start,key,unit,quantity
2011-09-29T00:00:00,5679846214598656,Street Light,Street-Light,2011-08-25T00:00:00,5910974510923776,kwh,0.0
2011-09-29T00:00:00,5679846214598656,Trash,Trash-no usage shown,2011-08-25T00:00:00,6192449487634432,yd,0.0
2014-04-08T00:00:00,5680163505307648,Natural Gas,20193729,2014-03-10T00:00:00,5629499534213120,therm,445.0
2015-01-31T00:00:00,5681034041491456,Trash,Parking Lot,2015-01-01T00:00:00,5629499534213120,yd,2.0
2014-12-11T00:00:00,5681777339269120,Natural Gas,M19951081349,2014-11-11T00:00:00,5629499534213120,therm,173.0
2013-08-31T00:00:00,5681904711892992,Trash,,2013-08-01T00:00:00,5629499534213120,yd,2.0
2012-05-31T00:00:00,5682617542246400,Trash,,2012-05-01T00:00:00,5629499534213120,yd,2.0
2015-05-26T00:00:00,5682747733442560,Waste Water,,2015-04-28T00:00:00,4785074604081152,cf,0.0
2015-05-26T00:00:00,5682747733442560,Water,6106456,2015-04-28T00:00:00,5066549580791808,c.f,0.0
2015-05-26T00:00:00,5682747733442560,Trash,Trash-no usage shown,2015-04-28T00:00:00,5629499534213120,yd,0.0
2015-05-26T00:00:00,5682747733442560,Electricity,39523049,2015-04-28T00:00:00,6192449487634432,kwh,435.0
2012-07-30T00:00:00,5683582030839808,Street Light,Street-Light,2012-06-26T00:00:00,4785074604081152,kwh,0.0
2012-07-30T00:00:00,5683582030839808,Water,6106456,2012-06-26T00:00:00,5066549580791808,c.f,0.0
2012-07-30T00:00:00,5683582030839808,Electricity,39523049,2012-06-26T00:00:00,5629499534213120,kwh,959.0
2012-07-30T00:00:00,5683582030839808,Trash,Trash-no usage shown,2012-06-26T00:00:00,5910974510923776,yd,0.0
2012-07-30T00:00:00,5683582030839808,Waste Water,,2012-06-26T00:00:00,6192449487634432,cf,0.0
2012-06-12T00:00:00,5684453372329984,Electricity,ACCT433803-179084,2012-05-08T00:00:00,5629499534213120,kwh,3264.0
2013-07-08T00:00:00,5684666375864320,Water,,2013-04-08T00:00:00,5629499534213120,100cu.ft.,11.0
2010-05-09T00:00:00,5685057352105984,Natural Gas,20193729,2010-04-08T00:00:00,5629499534213120,therm,82.0
2014-10-10T00:00:00,5685265389584384,Electricity,ACCT433803-179085,2014-09-10T00:00:00,5629499534213120,kwh,212.0
2014-11-12T00:00:00,5685925472370688,Electricity,ACCT433803-179084,2014-10-10T00:00:00,5629499534213120,kwh,2271.0
2015-04-29T00:00:00,5686683802533888,Street Light,Street-Light,2015-03-27T00:00:00,4785074604081152,kwh,0.0
2015-04-29T00:00:00,5686683802533888,Water,6106456,2015-03-27T00:00:00,5066549580791808,c.f,0.0
2015-04-29T00:00:00,5686683802533888,Electricity,39523049,2015-03-27T00:00:00,5629499534213120,kwh,429.0
2015-04-29T00:00:00,5686683802533888,Trash,Trash-no usage shown,2015-03-27T00:00:00,5910974510923776,yd,0.0
2015-04-29T00:00:00,5686683802533888,Waste Water,,2015-03-27T00:00:00,6192449487634432,cf,0.0
2012-03-31T00:00:00,5687539843203072,Trash,,2012-03-01T00:00:00,5629499534213120,yd,2.0
2012-09-05T00:00:00,5688424874901504,Natural Gas,20193729,2012-08-06T00:00:00,5629499534213120,therm,0.0
2015-02-15T00:00:00,5688555066097664,Electricity,3434444-200 tower-demand,2015-01-14T00:00:00,5066549580791808,kw,18.0
2015-02-15T00:00:00,5688555066097664,Electricity,3434444-200 tower,2015-01-14T00:00:00,5629499534213120,kwh,6300.0
2013-09-27T00:00:00,5689154616688640,Street Light,Street-Light,2013-08-22T00:00:00,4785074604081152,kwh,0.0
